framework,dataset,pairwise_precision,pairwise_recall,pairwise_f1,bcubed_precision,bcubed_recall,bcubed_f1
Dedupe,D2,0.326007,0.46114,0.381974,0.900572,0.946612,0.923018
Dedupe,D3,0.42623,0.517413,0.467416,0.943382,0.962519,0.952854
Dedupe,D4,0.950495,1.0,0.974619,0.973815,1.0,0.986734
Dedupe,D5,0.858942,0.963277,0.908123,0.993259,0.99848,0.995863
Dedupe,D6,0.208716,0.95288,0.342427,0.938273,0.999142,0.967751
Dedupe,D7,0.303657,0.940887,0.459135,0.825348,0.995268,0.902379
Dedupe,D8,0.013359,1.0,0.026365,0.342509,1.0,0.510253
Dedupe,D9,0.944444,0.935407,0.939904,0.993271,0.992533,0.992902
Dedupe,CORA,1.0,0.606725,0.755232,1.0,0.874117,0.932831
Dedupe,CDDB,0.973684,1.0,0.986667,0.998366,1.0,0.999182
pyJedAI,D2,0.917127,0.860104,0.887701,0.9923,0.98614,0.98921
pyJedAI,D3,0.640496,0.771144,0.699774,0.966383,0.982226,0.97424
pyJedAI,D4,0.990847,0.990847,0.990847,0.995609,0.995609,0.995609
pyJedAI,D5,0.84949,0.940678,0.892761,0.993103,0.997545,0.995319
pyJedAI,D6,0.847561,0.727749,0.783099,0.997617,0.995044,0.996329
pyJedAI,D7,0.544892,0.866995,0.669202,0.942035,0.989353,0.965114
pyJedAI,D8,0.566502,0.751634,0.646067,0.989283,0.995372,0.992318
pyJedAI,D9,0.967662,0.930622,0.94878,0.996405,0.99198,0.994188
pyJedAI,CORA,0.941034,0.73555,0.8257,0.906112,0.876412,0.891015
pyJedAI,CDDB,0.852941,0.783784,0.816901,0.99183,0.986928,0.989373
Zingg,D2,0.46875,0.466321,0.467532,0.94309,0.947125,0.945103
Zingg,D3,0.456522,0.208955,0.286689,0.980294,0.938563,0.958974
Zingg,D4,0.993023,0.977117,0.985006,0.996341,0.989023,0.992669
Zingg,D5,0.78341,0.960452,0.862944,0.988777,0.998363,0.993547
Zingg,D6,0.330309,0.95288,0.490566,0.964175,0.999142,0.981347
Zingg,D7,0.302676,0.891626,0.451935,0.833761,0.991325,0.905741
Zingg,D8,0.529915,0.405229,0.459259,0.993545,0.988917,0.991226
Zingg,D9,0.91,0.217703,0.351351,0.997511,0.909569,0.951512
Zingg,CORA,1.0,0.388742,0.559848,1.0,0.517812,0.682314
Zingg,CDDB,1.0,0.837838,0.911765,1.0,0.991285,0.995624
Splink,D2,0.671233,0.507772,0.578171,0.973093,0.951232,0.962038
Splink,D3,0.280556,0.502488,0.360071,0.896351,0.96136,0.927718
Splink,D4,0.96861,0.988558,0.978482,0.9839,0.994512,0.989178
Splink,D5,0.887701,0.937853,0.912088,0.99509,0.997428,0.996258
Splink,D6,0.97619,0.429319,0.596364,0.999809,0.989612,0.994685
Splink,D7,0.587963,0.625616,0.606205,0.964905,0.970032,0.967462
Splink,D8,0.695122,0.372549,0.485106,0.996955,0.988308,0.992613
Splink,D9,0.924757,0.911483,0.918072,0.990874,0.989768,0.99032
Splink,CORA,0.99773,0.664148,0.79746,0.986441,1.0,0.993174
Splink,CDDB,1.0,0.837838,0.911765,1.0,0.990196,0.995074
Magellan,D2,0.617925,0.678756,0.646914,0.882358,0.890335,0.886328
Magellan,D3,0.577519,0.741294,0.649237,0.916014,0.956294,0.935721
Magellan,D4,0.997717,1.0,0.998857,0.997434,0.992261,0.994841
Magellan,D5,0.893782,0.974576,0.932432,0.982161,0.979148,0.980652
Magellan,D6,0.725926,0.513089,0.601227,0.983332,0.95297,0.967913
Magellan,D7,0.611111,0.704433,0.654462,0.974163,0.972162,0.973161
Magellan,D8,0.677019,0.712418,0.694268,0.994187,0.992407,0.993296
Magellan,D9,0.918919,0.976077,0.946636,0.996228,0.995428,0.995828
RecordLinkage,D2,0.787234,0.766839,0.776903,0.977755,0.976899,0.977327
RecordLinkage,D3,0.574074,0.771144,0.658174,0.95237,0.982226,0.967067
RecordLinkage,D4,0.997717,1.0,0.998857,0.998902,1.0,0.999451
RecordLinkage,D5,0.882206,0.99435,0.934927,0.994505,0.999766,0.997129
RecordLinkage,D6,0.965909,0.445026,0.609319,0.999714,0.989898,0.994782
RecordLinkage,D7,0.632743,0.704433,0.666667,0.967008,0.976341,0.971652
RecordLinkage,D8,0.779412,0.69281,0.733564,0.996346,0.994276,0.99531
RecordLinkage,D9,0.958838,0.947368,0.953069,0.994792,0.993916,0.994354
LinkTransformer,D2,0.634921,0.829016,0.719101,0.949104,0.98306,0.965784
LinkTransformer,D3,0.513889,0.736318,0.605317,0.943478,0.979521,0.961162
LinkTransformer,D4,0.990888,0.995423,0.993151,0.995243,0.997805,0.996522
LinkTransformer,D5,0.836788,0.912429,0.872973,0.992557,0.996376,0.994463
LinkTransformer,D6,0.326531,0.921466,0.482192,0.964746,0.99857,0.981367
LinkTransformer,D7,0.315359,0.950739,0.47362,0.832972,0.996057,0.907244
LinkTransformer,D8,0.467836,0.522876,0.493827,0.988714,0.991109,0.98991
LinkTransformer,D9,0.911162,0.956938,0.933489,0.988431,0.995022,0.991716
