config_id,status,numPartitions,labelDataSampleSize,neg_ratio,chosen_threshold,valid_f1,test_precision,test_recall,test_f1,time_sec,peak_mem_mb
1,OK,48,0.2002,7.674,0.01,0.490909,0.546099,0.398964,0.461078,115.11,197.0
2,OK,23,0.3009,7.6282,0.01,0.454545,0.556391,0.38342,0.453988,110.61,195.5
3,OK,51,0.7666,5.9083,0.01,0.469438,0.472637,0.492228,0.482234,112.12,193.4
4,OK,45,0.4797,1.2682,0.46,0.501292,0.450704,0.497409,0.472906,99.1,188.2
5,OK,21,0.3094,6.4182,0.48,0.474934,0.52071,0.455959,0.486188,108.1,194.7
6,OK,43,0.279,6.849,0.01,0.481375,0.535948,0.42487,0.473988,113.08,195.4
7,OK,42,0.4776,5.0429,0.01,0.466667,0.408163,0.518135,0.456621,106.08,192.8
8,OK,25,0.8285,1.0585,0.01,0.420202,0.340067,0.523316,0.412245,105.11,190.0
9,OK,59,0.2437,4.8035,0.01,0.464198,0.458763,0.46114,0.459948,107.57,193.6
10,OK,25,0.2399,9.6149,0.01,0.505618,0.531646,0.435233,0.478632,117.64,199.0
11,OK,29,0.192,4.4193,0.43,0.457002,0.450237,0.492228,0.470297,105.12,191.9
12,OK,30,0.8627,6.4335,0.48,0.457447,0.497041,0.435233,0.464088,115.11,193.6
13,OK,59,0.1391,5.1348,0.43,0.46875,0.439331,0.544041,0.486111,108.11,194.4
14,OK,15,0.9758,4.4068,0.43,0.458427,0.402597,0.481865,0.438679,105.09,192.8
15,OK,43,0.3639,6.6578,0.01,0.457584,0.469274,0.435233,0.451613,109.11,194.3
16,OK,64,0.8755,6.1962,0.01,0.485549,0.546053,0.430052,0.481159,109.61,193.6
17,OK,53,0.1626,6.9514,0.01,0.472826,0.518519,0.435233,0.473239,112.08,194.4
18,OK,57,0.3604,1.7181,0.65,0.451025,0.39749,0.492228,0.439815,98.06,188.3
19,OK,22,0.8798,4.4211,0.56,0.458333,0.484663,0.409326,0.44382,101.6,192.7
20,OK,37,0.6721,4.2835,0.01,0.508197,0.517241,0.466321,0.490463,104.07,189.9
21,OK,31,0.4197,7.0316,0.01,0.484663,0.539568,0.388601,0.451807,110.58,194.9
22,OK,52,0.943,6.8323,0.42,0.475196,0.5,0.435233,0.465374,110.58,194.4
23,OK,46,0.6715,5.8073,0.01,0.475452,0.488372,0.435233,0.460274,122.1,193.5
24,OK,23,0.2471,4.4151,0.56,0.460274,0.49375,0.409326,0.447592,102.11,192.8
25,OK,48,0.7193,2.9765,0.47,0.50411,0.480663,0.450777,0.465241,102.07,190.0
26,OK,28,0.8586,7.984,0.01,0.493298,0.488889,0.455959,0.47185,115.09,197.9
27,OK,22,0.8396,8.2454,0.01,0.52459,0.505682,0.46114,0.482385,120.12,197.1
28,OK,33,0.341,2.8988,0.45,0.465882,0.431111,0.502591,0.464115,101.61,190.0
29,OK,44,0.8887,3.8321,0.41,0.457002,0.447236,0.46114,0.454082,106.09,190.5
30,OK,49,0.5493,8.9621,0.01,0.464968,0.596491,0.352332,0.442997,114.59,199.5
31,OK,49,0.513,3.3839,0.01,0.440281,0.42723,0.471503,0.448276,103.6,190.3
32,OK,23,0.7705,5.8508,0.01,0.479532,0.538961,0.430052,0.478386,109.09,193.1
33,OK,55,0.6261,9.0804,0.01,0.471338,0.61157,0.38342,0.471338,116.09,197.1
34,OK,33,0.4258,9.9759,0.01,0.473186,0.576,0.373057,0.45283,140.67,201.2
35,OK,16,0.5586,1.8182,0.62,0.425439,0.375,0.497409,0.427617,96.58,188.5
36,OK,11,0.875,2.3756,0.45,0.475196,0.455446,0.476684,0.465823,96.07,190.1
37,OK,18,0.8129,4.7994,0.01,0.504348,0.530612,0.404145,0.458824,107.11,192.1
38,OK,12,0.4463,6.363,0.01,0.465823,0.441624,0.450777,0.446154,107.6,194.5
39,OK,37,0.5762,9.7397,0.01,0.49697,0.555556,0.414508,0.474777,117.12,201.5
40,OK,63,0.9482,7.1226,0.6,0.479042,0.552448,0.409326,0.470238,113.11,194.6
41,OK,15,0.7135,5.8327,0.01,0.476923,0.488889,0.455959,0.47185,107.09,194.5
42,OK,25,0.7917,4.0616,0.01,0.431762,0.447761,0.466321,0.456853,103.07,190.8
43,OK,26,0.4913,5.0835,0.54,0.480818,0.477778,0.445596,0.461126,105.1,193.2
44,OK,54,0.8883,3.3705,0.42,0.450363,0.437811,0.455959,0.446701,103.58,190.1
45,OK,40,0.7858,5.5691,0.52,0.510638,0.539568,0.388601,0.451807,108.11,193.4
46,OK,14,0.8835,3.686,0.47,0.502646,0.478947,0.471503,0.475196,103.08,190.0
47,OK,48,0.5569,2.7902,0.01,0.425163,0.373585,0.512953,0.432314,101.12,190.8
48,OK,31,0.7863,5.8544,0.01,0.475362,0.544828,0.409326,0.467456,109.09,194.6
49,OK,57,0.9302,9.2664,0.01,0.492401,0.519737,0.409326,0.457971,117.61,197.9
50,OK,46,0.3917,1.1753,0.01,0.440252,0.384615,0.544041,0.450644,100.09,189.8
